person	position	declaration_year	source_type	point_code	point_title	declarer/family	content	Sum1_property	Sum2_leasing	Name_of_country	Name_of_currency	Sum3_income_in_currency	block	additional_information	decl_section	
Вітко Артем Леонідович		2014			Член сім`ї декларанта		дружина, Вітко Л.А.								Розділ I. Загальні відомості
Вітко Артем Леонідович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	96719,0							96719,0	Розділ II. Відомості про доходи
Вітко Артем Леонідович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	17500,0							17500,0	Розділ II. Відомості про доходи
Вітко Артем Леонідович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	96719,0							96719,0	Розділ II. Відомості про доходи
Вітко Артем Леонідович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	17500,0							17500,0	Розділ II. Відомості про доходи
Вітко Артем Леонідович		2014			Квартири	сім'я	34,0 							34,0 	Розділ III. Відомості про нерухоме майно
Вітко Артем Леонідович		2014			Квартири	сім'я	64,2 							64,2 	Розділ III. Відомості про нерухоме майно
Вітко Артем Леонідович		2014			Утримання зазначеного у розділах III-V майна	сім'я	3500,0 							3500,0 	Розділ VI. Відомості про фінансові зобов'язання 
Вітко Артем Леонідович		2013			Член сім`ї декларанта		дружина, Вітко Л.А.								Розділ I. Загальні відомості
Вітко Артем Леонідович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	42500								Розділ II. Відомості про доходи
Вітко Артем Леонідович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	40500								Розділ II. Відомості про доходи
Вітко Артем Леонідович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	42500								Розділ II. Відомості про доходи
Вітко Артем Леонідович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	40500								Розділ II. Відомості про доходи
Вітко Артем Леонідович		2013			Квартири	сім'я	34,0 							34,0 	Розділ III. Відомості про нерухоме майно
Вітко Артем Леонідович		2013			Утримання зазначеного у розділах III-V майна	сім'я	4600 							4600 	Розділ VI. Відомості про фінансові зобов'язання 
Супруненко Олександр Іванович		2014			Член сім`ї декларанта		Дружина, Супруненко О.Л.								Розділ I. Загальні відомості
Супруненко Олександр Іванович		2014			Член сім`ї декларанта		Донька, Супруненко О.О.								Розділ I. Загальні відомості
Супруненко Олександр Іванович		2014			Член сім`ї декларанта		Донька, Супруненко Л.О.								Розділ I. Загальні відомості
Супруненко Олександр Іванович		2014			Член сім`ї декларанта		Син, Супруненко І.О.								Розділ I. Загальні відомості
Супруненко Олександр Іванович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	19 903 371							19 903 371	Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	724122								Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	44920								Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	5250								Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2014			дивіденти, проценти	декларант	19 753 562							19 753 562	Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2014			дивіденти, проценти	сім'я	718872								Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2014			дохід від передачі в оренду (строкове володіння та/або користування) майна	декларант	104889								Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2014			Земельні ділянки	декларант	1201 							1201 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Квартири	декларант	293,60 							293,60 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Квартири	декларант	313,40 							313,40 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Квартири	декларант	65,88 							65,88 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Квартири	декларант	294,4 							294,4 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Квартири	декларант	22,67 							22,67 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Садовий (дачний) будинок	декларант	664,3 							664,3 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Гаражі	декларант	13,5 							13,5 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Гаражі	декларант	13,3 							13,3 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Земельні ділянки	сім'я	2500 							2500 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Земельні ділянки	сім'я	2291 							2291 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Інше нерухоме майно	сім'я	88,0 							88,0 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2014			Автомобілі легкові	сім'я	Toyota Land Cruise 200, 4461 куб.см , 2013 р.в.								Розділ IV. Відомості про транспортні засоби
Супруненко Олександр Іванович		2014			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	101 515 133 							101 515 133 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Супруненко Олександр Іванович		2014			Номінальна вартість цінних паперів, у т.ч.:	декларант	3 750 407 							3 750 407 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Супруненко Олександр Іванович		2014			Розмір внесків до статутного (складеного) капіталу товариства, підприємства, організації, у т.ч.:	декларант	100 305 900 							100 305 900 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Супруненко Олександр Іванович		2014			Сума коштів на рахунках у банках та інших фінансових установах	сім'я	9 461 319 							9 461 319 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Супруненко Олександр Іванович		2014			Утримання зазначеного у розділах III-V майна	декларант	198778 							198778 	Розділ VI. Відомості про фінансові зобов'язання 
Супруненко Олександр Іванович		2014			Утримання зазначеного у розділах III-V майна	сім'я	10560 							10560 	Розділ VI. Відомості про фінансові зобов'язання 
